,Depth ice/snow [m],δD H2O [‰ SMOW],δ18O H2O [‰ SMOW],Estimated Age [ka BP],Milan_ECC,Milan_OMEGA,Milan_OBL,Milan_PREC,Milan_90SJune,Milan_90SDec,delta-iso18o-Base at 6.6m,0.6*iso18o-Base at 6.6m,0.7*iso18o-Base at 6.6m,0.4*iso18o-Base at 6.6m,nearest_temp_age,Volume – km3,CO2,CH4
861,480.15,-441.9,-55.96,30.50107,0.01674316081,320.22315820000006,22.2800535,-0.010593552399999996,0.0,505.0325069,-5.783999999999999,-3.4703999999999993,-4.048799999999999,-2.3135999999999997,,0.0,192.3179850213252,384.80161360662885
862,480.7,-441.7,-55.91,30.554859999999998,0.01672610938,319.37650360000004,22.282743,-0.010772135199999994,0.0,504.9071762,-5.733999999999995,-3.440399999999997,-4.013799999999996,-2.293599999999998,,0.0,192.46727057527087,385.50536415176623
863,481.25,-441.4,-55.97,30.608625,0.016709065874999998,318.5302425,22.28543125,-0.010950635,0.0,504.78190375,-5.793999999999997,-3.476399999999998,-4.055799999999998,-2.3175999999999988,,0.0,192.61648674570944,386.20878761447887
864,481.8,-442.3,-56.15,30.66236,0.01669203188,317.68445360000004,22.288118,-0.011129035199999998,0.0,504.6567012,-5.973999999999997,-3.584399999999998,-4.181799999999997,-2.389599999999999,,0.0,192.76561965593942,386.9118185782817
865,482.35,-441.6,-56.03,30.715045,0.016675330735,316.85519170000003,22.29075225,-0.0113039494,0.0,504.53394515,-5.853999999999999,-3.5123999999999995,-4.097799999999999,-2.3415999999999997,,0.0,192.91183845886985,395.98064894448777
866,482.9,-447.4,-56.69,30.767129999999995,0.01665881979,316.0353738000001,22.293356499999998,-0.011476871599999983,0.0,504.4125871,-6.513999999999996,-3.908399999999997,-4.5597999999999965,-2.6055999999999986,,0.0,193.0563920576291,406.16145426114036
867,483.45,-437.2,-55.4,30.81917,0.01664232311,315.2162642,22.2959585,-0.011649644399999999,0.0,504.2913339,-5.223999999999997,-3.134399999999998,-3.6567999999999974,-2.0895999999999986,,0.0,193.20082076607554,413.70164473684207
868,484.0,-440.8,-55.75,30.8712,0.0166258296,314.397312,22.29856,-0.011822384000000005,0.0,504.170104,-5.573999999999998,-3.344399999999999,-3.9017999999999984,-2.229599999999999,,0.0,193.34522172111912,417.69517543859666
869,484.55,-436.5,-55.04,30.925485000000002,0.016608621254999997,313.54286609999997,22.30127425,-0.012002610200000007,0.0,504.04361995,-4.863999999999997,-2.9183999999999983,-3.404799999999998,-1.9455999999999989,,0.0,193.495881068506,421.861787280702
870,485.1,-444.8,-56.25,30.979760000000002,0.016591416079999997,312.6885776,22.303988,-0.012182803200000009,0.0,503.9171592,-6.073999999999998,-3.6443999999999988,-4.2517999999999985,-2.4295999999999993,,0.0,193.64651266249004,425.98474576271167
