
Depth ice/snow [m]	δD H2O [‰ SMOW]	δ18O H2O [‰ SMOW]
462.55	-434.5	-55.11
463.10	-433.9	-55.04
463.65	-434.6	-55.19
464.20	-439.3	-55.66
464.75	-431.6	-54.66
465.30	-432.0	-54.81
465.85	-435.5	-55.27
466.40	-429.4	-54.27
466.95	-437.2	-55.30
467.50	-429.5	-54.40
468.05	-441.5	-56.04
468.60	-436.2	-55.21
469.15	-435.6	-55.19
469.70	-439.9	-55.76
470.25	-435.5	-55.29
470.80	-439.7	-55.73
471.35	-442.5	-56.03
471.90	-442.1	-56.08
472.45	-442.1	-56.07
473.00	-443.5	-56.22
473.55	-433.9	-54.84
474.10	-439.0	-55.54
474.65	-443.7	-56.24
475.20	-438.6	-55.49
475.75	-438.4	-55.50
476.30	-442.5	-55.91
476.85	-444.2	-56.39
477.40	-443.1	-56.23
477.95	-440.5	-55.67
478.50	-440.7	-55.86
479.05	-438.8	-55.55
479.60	-440.3	-55.83
480.15	-441.9	-55.96
480.70	-441.7	-55.91
481.25	-441.4	-55.97
481.80	-442.3	-56.15
482.35	-441.6	-56.03
482.90	-447.4	-56.69
483.45	-437.2	-55.40
484.00	-440.8	-55.75
484.55	-436.5	-55.04
485.10	-444.8	-56.25
485.65	-440.5	-55.63
486.20	-442.9	-55.98
486.75	-441.4	-55.87
487.30	-439.3	-55.83
487.85	-443.4	-56.15
488.40	-438.2	-55.51
488.95	-446.0	-56.57
489.50	-441.3	-55.90
490.05	-435.8	-55.16
490.60	-447.9	-56.71
491.15	-444.6	-56.27
491.70	-436.3	-55.09
492.25	-442.5	-56.07
492.80	-441.3	-55.87
493.35	-432.0	-54.67
493.90	-442.6	-56.07
494.45	-438.7	-55.52
495.00	-445.1	-56.27
495.55	-440.2	-55.69
496.10	-443.8	-56.23
496.65	-443.0	-56.18
497.20	-446.5	-56.55
497.75	-441.5	-55.96
498.30	-446.5	-56.46
498.85	-444.9	-56.38
499.40	-438.9	-55.60
499.95	-438.3	-55.60
500.50	-436.4	-55.24
501.05	-442.4	-55.95
501.60	-448.0	-56.74
502.15	-444.2	-56.37
502.70	-441.7	-55.53
503.25	-439.5	-55.51
503.80	-442.1	-55.99
504.35	-437.5	-55.59
504.90	-444.1	-56.36
505.45	-440.6	-55.88
506.00	-442.5	-55.88
506.55	-443.5	-56.32
507.10	-443.7	-56.31
507.65	-446.5	-56.67
508.20	-438.8	-55.73
508.75	-438.3	-55.60
509.30	-441.2	-55.84
509.85	-442.3	-56.00
510.40	-443.3	-56.24
510.95	-443.2	-56.35
511.50	-439.5	-55.76
512.05	-441.5	-56.09
512.60	-441.8	-56.08
513.15	-442.2	-56.08
513.70	-441.7	-56.03
514.25	-446.3	-56.63
514.80	-440.9	-55.86
515.35	-442.5	-56.02
515.90	-437.8	-55.48
516.45	-439.7	-55.71
517.00	-445.6	-56.58
517.55	-445.7	-56.51
518.10	-440.6	-55.90
518.65	-436.9	-55.33
519.20	-432.8	-54.77
519.75	-446.1	-56.47
520.30	-443.7	-56.17
520.85	-438.8	-55.58
521.40	-443.3	-55.96
521.95	-446.2	-56.57
522.50	-442.9	-56.09
523.05	-439.2	-55.55
523.60	-437.7	-55.59
524.15	-436.2	-55.19
524.70	-442.0	-56.05
525.25	-440.3	-55.87
525.80	-443.1	-56.08
526.35	-442.2	-56.18
526.90	-444.4	-56.43
527.45	-445.4	-56.66
528.00	-443.5	-56.30
528.55	-438.3	-55.43
529.10	-445.8	-56.43
529.65	-445.0	-56.37
530.20	-435.6	-55.24
530.75	-440.3	-55.80
531.30	-442.0	-55.91
531.85	-437.9	-55.43
532.40	-440.8	-55.88
532.95	-445.1	-56.40
533.50	-439.5	-55.76
534.05	-445.5	-56.48
534.60	-441.7	-55.97
535.15	-443.3	-56.18
535.70	-441.9	-55.97
536.25	-444.0	-56.34
536.80	-442.9	-56.05
537.35	-440.2	-55.77
537.90	-436.1	-55.36
538.45	-438.6	-55.51
539.00	-434.9	-55.08
539.55	-439.5	-55.60
540.10	-440.7	-55.85
540.65	-438.3	-55.55
541.20	-447.2	-56.71
541.75	-441.8	-56.07
542.30	-439.3	-55.69
542.85	-441.3	-55.99
543.40	-437.7	-55.41
543.95	-438.9	-55.64
544.50	-439.9	-55.80
545.05	-437.4	-55.43
545.60	-439.3	-55.75
546.15	-441.4	-55.99
546.70	-441.8	-56.10
547.25	-448.1	-56.94
