Event (Core)	Eruption	Type	Depth ice/snow [m] (top)	Depth ice/snow [m] (bottom)	Age [ka BP] (AICC2012 Age)	[SO4]2- [ng/g] (Ion chromatography)	δ34S [‰ CDT] (Multi-collector inductively c...)	δ34S std dev [±] (2s, Multi-collector inductive...)	δ33S [‰ CDT] (Multi-collector inductively c...)	δ33S std dev [±] (2s, Multi-collector inductive...)	Δ33S [‰] (Multi-collector inductively c...)	Δ33S std dev [±] (2s, Multi-collector inductive...)	fV	fV std dev [±]	δ34S [‰ CDT] (Calculated, in volcanic fraction)	δ34S std dev [±] (s, Calculated, in volcanic fr...)	δ33S [‰ CDT] (Calculated, in volcanic fraction)	δ33S std dev [±] (s, Calculated, in volcanic fr...)	Δ33S [‰] (Calculated, in volcanic fraction)	Δ33S std dev [±] (s, Calculated, in volcanic fr...)
EDML	T5	Event	1877.54	1877.61	74.54	109	11.03	0.11	5.91	0.09	0.24	0.10	0.34	0.21	-16.50	72.87	-5.92	33.07	3.67	21.39
EDML	T5	Background	1877.61	1877.68	74.55	75	15.16	0.11	7.69	0.10	-0.09	0.10								
EDML	T6	Background	1877.68	1877.78	74.55	62	16.45	0.11	8.45	0.11	0.02	0.11								
EDML	T6	Event	1877.78	1877.83	74.56	186	5.78	0.11	2.55	0.10	-0.42	0.11	0.60	0.15	-2.01	8.33	-1.82	4.91	-0.77	0.76
EDML	T6	Event	1877.83	1877.85	74.56	377	9.10	0.11	4.67	0.11	-0.01	0.11	0.80	0.08	7.47	0.85	3.83	0.46	-0.01	0.24
EDML	T6	Event	1877.85	1877.87	74.56	399	12.07	0.11	6.75	0.11	0.55	0.12	0.81	0.08	11.27	0.47	6.46	0.24	0.67	0.24
EDML	T6	Event	1877.87	1877.90	74.57	211	15.50	0.11	8.09	0.11	0.13	0.11	0.65	0.13	15.54	0.67	8.16	0.40	0.19	0.52
EDML	T6	Background	1877.90	1877.98	74.57	102	14.83	0.11	7.60	0.11	-0.01	0.11								
EDML	T6	Background	1877.98	1878.12	74.58	59	15.13	0.11	7.82	0.10	0.06	0.11								
EDML	T7/T8	Background	1882.79	1882.89	74.93	67	16.61	0.11	8.66	0.11	0.14	0.12								
EDML	T7/T8	Event	1882.89	1882.94	74.94	383	8.17	0.11	3.90	0.11	-0.30	0.11	0.83	0.08	6.32	1.02	2.86	0.58	-0.39	0.22
EDML	T7/T8	Event	1882.94	1883.00	74.94	141	13.92	0.11	7.57	0.11	0.43	0.12	0.53	0.20	9.61	14.63	5.91	5.67	1.01	4.22
EDML	T7/T8	Background	1883.11	1883.21	74.96	65	16.63	0.11	8.57	0.11	0.04	0.11								
EDML	T7/T8	Event	1883.21	1883.30	74.96	157	10.94	0.11	5.49	0.10	-0.13	0.10	0.58	0.18	5.27	9.98	2.38	5.26	-0.32	1.63
EDML	T7/T8	Event	1883.30	1883.37	74.97	128	14.53	0.11	7.69	0.11	0.23	0.12	0.49	0.21	9.29	21.21	5.30	11.64	0.60	7.97
EDML	T7/T8	Event	1883.37	1883.48	74.98	83	13.56	0.11	6.96	0.11	0.00	0.12								
EDML	T9	Background	1890.41	1890.52	75.48	80	15.41	0.11	7.97	0.10	0.07	0.10								
EDML	T9	Event	1890.52	1890.58	75.48	166	7.00	0.11	3.36	0.10	-0.24	0.11	0.54	0.17	-3.61	15.44	-2.41	8.50	-0.52	1.94
EDML	T9	Event	1890.58	1890.61	75.49	291	5.81	0.11	3.00	0.11	0.02	0.11	0.74	0.10	1.82	2.11	0.94	1.10	0.01	0.33
EDML	T9	Event	1890.61	1890.64	75.49	237	12.95	0.11	6.73	0.11	0.08	0.11	0.68	0.12	11.16	1.19	5.84	0.61	0.11	0.45
EDML	T9	Event	1890.64	1890.70	75.49	151	15.03	0.11	7.71	0.11	-0.01	0.11	0.49	0.18	12.82	9.64	6.50	3.85	-0.07	5.80
EDML	T9	Background	1890.70	1890.80	75.50	80	16.98	0.11	8.79	0.11	0.08	0.12								
EDML	T9	Background	1890.80	1890.92	75.51	69	16.62	0.11	8.54	0.10	0.01	0.10								
EDML	T9	Event	1890.92	1891.00	75.51	121	12.43	0.11	6.38	0.11	0.00	0.11								
