Gas age [ka BP]	CO2 [ppmv]
652.080000	185.8
652.702000	185.3
653.732000	191.3
654.444000	193.2
655.534000	198.4
656.134000	198.7
657.178000	191.3
657.699000	189.2
658.747000	182.4
659.419000	183.9
660.467000	186.6
661.228000	189.8
662.281000	187.8
662.868000	189.0
663.927000	189.1
664.386000	185.8
665.298000	178.2
665.810000	178.5
666.755000	172.7
667.405000	171.6
668.426000	175.6
668.917000	178.5
669.820000	185.5
670.296000	189.3
671.063000	192.6
671.451000	194.6
672.128000	192.5
672.750000	194.8
673.688000	198.7
674.231000	202.3
675.032000	209.2
675.422000	213.7
676.515000	220.0
677.145000	217.4
677.606000	214.0
678.340000	215.6
678.752000	217.4
679.463000	226.5
679.740000	230.0
680.305000	230.8
680.625000	230.3
681.206000	223.0
681.668000	225.0
682.342000	218.4
682.739000	216.2
683.453000	217.3
683.823000	219.7
684.426000	222.6
684.754000	221.3
685.295000	218.7
685.680000	217.5
686.268000	217.5
686.579000	219.4
687.152000	219.5
687.440000	219.7
687.999000	223.5
688.299000	224.4
688.811000	224.3
689.160000	227.3
689.690000	228.7
689.951000	228.8
690.475000	232.3
690.735000	233.0
691.217000	235.8
691.468000	234.9
691.969000	235.8
692.318000	239.9
692.831000	235.6
693.081000	234.8
693.574000	240.0
693.814000	234.0
694.282000	235.6
694.543000	236.6
694.948000	235.5
695.262000	235.9
695.732000	232.9
695.981000	234.8
696.436000	234.1
696.646000	234.1
697.088000	235.4
697.342000	234.4
697.750000	235.8
698.039000	236.9
698.505000	236.7
698.755000	237.6
699.219000	234.6
699.441000	234.8
699.867000	235.4
700.111000	232.9
700.488000	232.4
700.816000	232.2
701.268000	231.0
701.522000	228.0
701.994000	226.4
702.200000	227.7
702.735000	227.6
703.015000	226.0
703.477000	228.7
703.800000	227.6
704.252000	228.2
704.583000	228.8
705.060000	229.3
705.245000	230.3
705.733000	232.4
706.057000	232.8
706.499000	231.2
706.713000	231.2
707.312000	233.9
707.647000	228.5
708.201000	228.6
708.416000	228.1
710.987000	219.7
711.404000	220.2
712.026000	218.9
712.243000	218.7
713.315000	218.5
714.083000	222.3
714.409000	221.7
715.120000	217.7
715.573000	222.1
716.299000	208.1
716.604000	205.0
717.352000	192.9
717.962000	184.3
718.765000	187.8
719.285000	195.2
720.085000	206.3
720.567000	211.3
721.410000	213.4
721.703000	213.2
722.501000	210.3
722.990000	206.3
723.769000	206.6
724.134000	208.1
724.961000	204.5
725.471000	205.5
726.261000	205.1
726.578000	205.4
727.891000	204.0
728.588000	204.1
728.983000	204.9
729.839000	203.8
730.252000	205.9
730.915000	203.9
731.197000	204.4
731.863000	205.3
732.338000	207.4
732.994000	201.7
733.321000	201.3
734.031000	204.1
734.472000	209.7
735.158000	208.1
735.425000	211.3
736.118000	210.6
736.525000	206.5
737.269000	200.3
737.658000	197.8
738.579000	185.0
739.174000	178.9
740.098000	178.6
740.450000	176.6
741.323000	177.9
741.875000	182.3
742.641000	181.7
743.054000	180.4
743.959000	181.2
744.524000	182.0
745.670000	180.2
746.619000	183.1
747.182000	180.8
747.945000	180.8
748.341000	180.4
749.263000	181.4
749.815000	182.9
750.707000	184.8
751.035000	184.0
751.972000	186.2
752.564000	190.1
753.484000	188.0
753.919000	196.5
755.110000	191.5
755.582000	195.8
756.572000	200.5
756.863000	201.9
757.786000	206.0
758.375000	210.7
759.149000	215.0
759.577000	219.2
759.884000	215.3
760.103000	217.6
760.513000	217.9
760.933000	214.9
761.850000	208.8
762.155000	206.9
763.100000	206.1
763.771000	212.0
764.694000	216.0
765.193000	215.0
765.600000	225.7
765.875000	221.4
766.215000	224.1
766.816000	222.6
767.737000	216.8
768.102000	215.7
769.046000	213.5
769.638000	217.7
770.601000	222.4
771.035000	221.4
771.533000	228.1
771.819000	226.0
772.176000	231.5
772.481000	235.6
772.750000	238.2
773.005000	235.6
773.254000	237.7
773.679000	229.5
774.035000	230.9
774.951000	230.0
775.529000	233.3
776.330000	236.9
776.783000	240.5
777.682000	238.8
778.232000	243.9
779.057000	246.3
779.369000	246.1
780.191000	245.8
780.723000	243.9
781.562000	248.5
781.882000	242.8
782.728000	248.7
783.193000	246.2
784.253000	252.1
785.034000	246.9
785.517000	250.7
786.187000	253.3
786.567000	255.4
787.369000	260.3
787.817000	256.9
788.484000	248.1
788.698000	247.9
789.508000	229.5
789.958000	226.3
790.660000	218.2
791.063000	221.3
792.039000	215.4
792.631000	205.1
793.544000	204.0
793.859000	209.0
795.129000	199.4
795.692000	195.2
796.841000	189.3
797.375000	188.4
798.569000	191.0
